year,city,country,avg_temp
1931,Philadelphia,United States,13.18
1932,Philadelphia,United States,12.71
1933,Philadelphia,United States,12.63
1934,Philadelphia,United States,11.78
1935,Philadelphia,United States,11.72
1936,Philadelphia,United States,12.06
1937,Philadelphia,United States,12.42
1938,Philadelphia,United States,12.72
1939,Philadelphia,United States,12.61
1940,Philadelphia,United States,10.88
1941,Philadelphia,United States,12.46
1942,Philadelphia,United States,12.40
1943,Philadelphia,United States,11.99
1944,Philadelphia,United States,12.17
1945,Philadelphia,United States,12.35
1946,Philadelphia,United States,12.90
1947,Philadelphia,United States,12.11
1948,Philadelphia,United States,12.09
1949,Philadelphia,United States,13.53
1950,Philadelphia,United States,12.08
1951,Philadelphia,United States,12.60
1952,Philadelphia,United States,12.75
1953,Philadelphia,United States,13.26
1954,Philadelphia,United States,12.66
1955,Philadelphia,United States,12.42
1956,Philadelphia,United States,12.20
1957,Philadelphia,United States,12.78
1958,Philadelphia,United States,11.34
1959,Philadelphia,United States,12.99
1960,Philadelphia,United States,11.96
1961,Philadelphia,United States,12.17
1962,Philadelphia,United States,11.51
1963,Philadelphia,United States,11.60
1964,Philadelphia,United States,12.23
1965,Philadelphia,United States,11.95
1966,Philadelphia,United States,11.86
1967,Philadelphia,United States,11.46
1968,Philadelphia,United States,12.15
1969,Philadelphia,United States,11.94
1970,Philadelphia,United States,12.13
1971,Philadelphia,United States,12.41
1972,Philadelphia,United States,11.83
1973,Philadelphia,United States,13.08
1974,Philadelphia,United States,12.48
1975,Philadelphia,United States,12.74
1976,Philadelphia,United States,11.93
1977,Philadelphia,United States,12.43
1978,Philadelphia,United States,11.51
1979,Philadelphia,United States,12.07
1980,Philadelphia,United States,12.17
1981,Philadelphia,United States,12.00
1982,Philadelphia,United States,12.10
1983,Philadelphia,United States,12.66
1984,Philadelphia,United States,12.48
1985,Philadelphia,United States,12.81
1986,Philadelphia,United States,12.62
1987,Philadelphia,United States,12.52
1988,Philadelphia,United States,11.95
1989,Philadelphia,United States,12.07
1990,Philadelphia,United States,13.69
1991,Philadelphia,United States,13.60
1992,Philadelphia,United States,11.94
1993,Philadelphia,United States,12.45
1994,Philadelphia,United States,12.45
1995,Philadelphia,United States,12.54
1996,Philadelphia,United States,11.92
1997,Philadelphia,United States,12.40
1998,Philadelphia,United States,13.86
1999,Philadelphia,United States,13.29
2000,Philadelphia,United States,12.31
2001,Philadelphia,United States,13.07
2002,Philadelphia,United States,13.59
2003,Philadelphia,United States,12.07
2004,Philadelphia,United States,12.69
2005,Philadelphia,United States,12.71
2006,Philadelphia,United States,13.64
2007,Philadelphia,United States,12.97
2008,Philadelphia,United States,13.01
2009,Philadelphia,United States,12.50
2010,Philadelphia,United States,13.28
2011,Philadelphia,United States,13.65
2012,Philadelphia,United States,14.05
2013,Philadelphia,United States,14.01
